stock_code,stock_name,industry,concept_tags,main_business,listed_date,is_st,avg_turnover_million
600760,中航沈飞,军工,"军工,战斗机,航空装备","军机整机研发与制造",1996-10-11,false,520
300581,晨曦航空,军工,"军工,无人机,航空电子","航空机电与无人机相关产品",2016-12-20,false,180
688543,国科军工,军工,"军工,导弹,弹药","导弹和弹药装备配套",2023-06-21,false,130
002792,通宇通讯,通信设备,"军工,卫星通信,低空经济","通信天线与射频器件",2016-03-28,false,160
600037,歌华有线,传媒,"文化传媒,参股,国资","有线电视网络运营与内容服务",2001-02-08,false,110
003009,中天火箭,军工,"军工,导弹,固体火箭","小型固体火箭及延伸产品",2020-09-25,false,150
688033,天宜上佳,新材料,"军工,碳碳复材,新材料","高性能复合材料与轨道交通材料",2019-07-22,false,140
002414,高德红外,军工,"军工,红外,光电","红外热成像与光电系统",2010-07-16,false,310
603019,中科曙光,计算机,"AI算力,服务器,信创","高性能计算与服务器",2014-11-06,false,420
300308,中际旭创,通信设备,"AI算力,光模块,数据中心","高速光模块与互联方案",2012-04-10,false,460
002371,北方华创,半导体,"半导体,设备,国产替代","半导体设备研发与制造",2010-03-16,false,500
688041,海光信息,半导体,"芯片,算力,服务器","高端处理器与加速器芯片",2022-08-12,false,350
300274,阳光电源,电力设备,"新能源,储能,逆变器","光伏逆变器与储能系统",2011-11-02,false,620
600438,通威股份,电力设备,"新能源,光伏,硅料","光伏产业链与饲料业务",2004-03-02,false,560
002594,比亚迪,汽车,"新能源,电池,汽车","新能源汽车与动力电池",2011-06-30,false,980
300699,光威复材,军工,"军工,碳纤维,材料","碳纤维及复合材料",2017-09-01,false,170
